system:time_start,NDVI
"Jan 20, 2002",-0.599
"Jan 24, 2002",-0.384
"Jan 29, 2002",-0.373
"Feb 5, 2002",-0.47
"Feb 5, 2002",-0.544
"Feb 7, 2002",-0.383
"Feb 9, 2002",-0.676
"Feb 14, 2002",-0.521
"Feb 14, 2002",-0.55
"Feb 16, 2002",-0.527
"Feb 19, 2002",-0.585
"Feb 23, 2002",-0.576
"Feb 25, 2002",
"Feb 28, 2002",-0.574
"Feb 28, 2002",-0.584
"Mar 2, 2002",-0.593
"Mar 2, 2002",-0.578
"Mar 4, 2002",-0.614
"Mar 4, 2002",-0.314
"Mar 6, 2002",-0.035
"Mar 7, 2002",-0.456
"Mar 11, 2002",-0.529
"Mar 11, 2002",-0.492
"Mar 13, 2002",-0.566
"Mar 13, 2002",-0.302
"Mar 16, 2002",-0.622
"Mar 16, 2002",-0.661
"Mar 18, 2002",-0.375
"Mar 18, 2002",-0.375
"Mar 20, 2002",-0.305
"Mar 25, 2002",-0.214
"Mar 25, 2002",-0.337
"Mar 25, 2002",-0.486
"Mar 27, 2002",-0.324
"Mar 27, 2002",-0.233
"Mar 29, 2002",-0.3
"Mar 31, 2002",0.059
"Apr 3, 2002",-0.162
"Apr 3, 2002",-0.33
"Apr 5, 2002",-0.108
"Apr 5, 2002",-0.075
"Apr 7, 2002",0.028
"Apr 8, 2002",
"Apr 8, 2002",
"Apr 10, 2002",-0.087
"Apr 10, 2002",-0.224
"Apr 10, 2002",-0.342
"Apr 12, 2002",-0.148
"Apr 12, 2002",-0.127
"Apr 17, 2002",
"Apr 21, 2002",-0.25
"Apr 21, 2002",-0.053
"Apr 24, 2002",
"Apr 26, 2002",-0.077
"Apr 26, 2002",-0.185
"Apr 26, 2002",-0.289
"Apr 28, 2002",-0.384
"Apr 28, 2002",-0.17
"Apr 30, 2002",-0.141
"May 2, 2002",
"May 5, 2002",-0.204
"May 7, 2002",-0.137
"May 7, 2002",-0.093
"May 9, 2002",0.076
"May 12, 2002",-0.068
"May 12, 2002",-0.18
"May 12, 2002",-0.374
"May 14, 2002",
"May 16, 2002",0.053
"May 16, 2002",-0.028
"May 18, 2002",
"May 21, 2002",-0.118
"May 21, 2002",-0.152
"May 28, 2002",-0.2
"May 30, 2002",-0.389
"May 30, 2002",-0.209
"Jun 1, 2002",
"Jun 6, 2002",-0.15
"Jun 6, 2002",-0.197
"Jun 8, 2002",-0.245
"Jun 11, 2002",-0.096
"Jun 13, 2002",-0.193
"Jun 13, 2002",-0.206
"Jun 15, 2002",
"Jun 15, 2002",-0.267
"Jun 17, 2002",
"Jun 20, 2002",-0.11
"Jun 20, 2002",-0.194
"Jun 22, 2002",-0.242
"Jun 22, 2002",-0.266
"Jun 24, 2002",-0.227
"Jun 24, 2002",-0.222
"Jun 26, 2002",-0.225
"Jun 29, 2002",-0.268
"Jun 29, 2002",-0.227
"Jun 29, 2002",-0.262
"Jul 1, 2002",-0.307
"Jul 1, 2002",-0.3
"Jul 15, 2002",-0.329
"Jul 15, 2002",-0.344
"Jul 17, 2002",-0.309
"Jul 17, 2002",-0.285
"Jul 19, 2002",-0.264
"Jul 24, 2002",-0.315
"Jul 24, 2002",-0.278
"Jul 26, 2002",-0.3
"Jul 26, 2002",-0.309
"Jul 28, 2002",-0.3
"Jul 31, 2002",-0.261
"Jul 31, 2002",-0.329
"Aug 2, 2002",-0.277
"Aug 2, 2002",-0.288
"Aug 4, 2002",-0.305
"Aug 7, 2002",-0.309
"Aug 11, 2002",-0.3
"Aug 13, 2002",-0.245
"Aug 16, 2002",-0.242
"Aug 16, 2002",-0.266
"Aug 22, 2002",
"Aug 23, 2002",-0.279
"Aug 25, 2002",-0.223
"Aug 25, 2002",-0.261
"Aug 27, 2002",-0.264
"Aug 27, 2002",-0.263
"Aug 30, 2002",-0.298
"Sep 1, 2002",-0.303
"Sep 1, 2002",-0.251
"Sep 1, 2002",-0.25
"Sep 3, 2002",-0.281
"Sep 3, 2002",-0.287
"Sep 5, 2002",-0.244
"Sep 7, 2002",-0.202
"Sep 10, 2002",-0.202
"Sep 10, 2002",-0.192
"Sep 17, 2002",-0.266
"Sep 17, 2002",-0.225
"Sep 19, 2002",-0.191
"Sep 19, 2002",-0.187
"Sep 23, 2002",
"Sep 24, 2002",-0.18
"Sep 26, 2002",-0.18
"Sep 26, 2002",-0.244
"Sep 28, 2002",-0.174
"Oct 1, 2002",-0.24
"Oct 5, 2002",-0.255
"Oct 5, 2002",-0.219
"Oct 7, 2002",-0.096
"Oct 7, 2002",-0.159
"Oct 12, 2002",-0.317
"Oct 14, 2002",-0.163
"Oct 14, 2002",-0.144
"Oct 16, 2002",-0.496
"Oct 21, 2002",-0.262
"Oct 23, 2002",-0.225
"Oct 25, 2002",-0.027
"Oct 26, 2002",-0.477
"Oct 26, 2002",-0.497
"Oct 30, 2002",-0.144
"Oct 30, 2002",-0.149
"Nov 2, 2002",
"Nov 4, 2002",-0.276
"Nov 6, 2002",-0.312
"Nov 6, 2002",-0.335
"Nov 8, 2002",-0.133
"Nov 10, 2002",-0.079
"Nov 13, 2002",-0.449
