system:time_start,LST_Day_1km
"Jan 1, 2002",-9.21
"Jan 2, 2002",-8.836
"Jan 3, 2002",-6.152
"Jan 4, 2002",-1.966
"Jan 5, 2002",-10.496
"Jan 6, 2002",-8.55
"Jan 7, 2002",-8.387
"Jan 8, 2002",-3.39
"Jan 9, 2002",-4.93
"Jan 10, 2002",-13.94
"Jan 11, 2002",-12.524
"Jan 12, 2002",-5.279
"Jan 13, 2002",-5.496
"Jan 14, 2002",-1.944
"Jan 15, 2002",-1.623
"Jan 16, 2002",-4.202
"Jan 17, 2002",-2.569
"Jan 18, 2002",-7.747
"Jan 19, 2002",-11.491
"Jan 20, 2002",-6.961
"Jan 21, 2002",-12.692
"Jan 22, 2002",-18.188
"Jan 23, 2002",-16.559
"Jan 24, 2002",-19.481
"Jan 25, 2002",-14.957
"Jan 26, 2002",-6.43
"Jan 27, 2002",-2.607
"Jan 28, 2002",-5.918
"Jan 29, 2002",-4.957
"Jan 30, 2002",-7.131
"Jan 31, 2002",-10.501
"Feb 1, 2002",-2.261
"Feb 2, 2002",-7.402
"Feb 3, 2002",-5.056
"Feb 4, 2002",-4.704
"Feb 5, 2002",-6.12
"Feb 6, 2002",-10.625
"Feb 7, 2002",-9.292
"Feb 8, 2002",-11.541
"Feb 9, 2002",-14.458
"Feb 10, 2002",-11.912
"Feb 11, 2002",-6.917
"Feb 12, 2002",-9.971
"Feb 13, 2002",-7.134
"Feb 14, 2002",-7.945
"Feb 15, 2002",-11.159
"Feb 16, 2002",-16.823
"Feb 17, 2002",-12.096
"Feb 18, 2002",-11.797
"Feb 19, 2002",-11.889
"Feb 20, 2002",-9.776
"Feb 21, 2002",-13.062
"Feb 22, 2002",-4.155
"Feb 23, 2002",-7.25
"Feb 24, 2002",-2.453
"Feb 25, 2002",-1.701
"Feb 26, 2002",-2.156
"Feb 27, 2002",-15.299
"Feb 28, 2002",-1.196
"Mar 1, 2002",-2.482
"Mar 2, 2002",-3.002
"Mar 3, 2002",-3.359
"Mar 4, 2002",-3.346
"Mar 5, 2002",-5.127
"Mar 6, 2002",-2.161
"Mar 7, 2002",-3.386
"Mar 8, 2002",-5.128
"Mar 9, 2002",-2.576
"Mar 10, 2002",-3.701
"Mar 11, 2002",-4.433
"Mar 12, 2002",-3.19
"Mar 13, 2002",-0.317
"Mar 14, 2002",-3.327
"Mar 15, 2002",-7.907
"Mar 16, 2002",0.127
"Mar 17, 2002",0.726
"Mar 18, 2002",-0.313
"Mar 19, 2002",
"Mar 28, 2002",
"Mar 29, 2002",-2.158
"Mar 30, 2002",-2.908
"Mar 31, 2002",-0.237
"Apr 1, 2002",-1.448
"Apr 2, 2002",2.608
"Apr 3, 2002",3.036
"Apr 4, 2002",2.858
"Apr 5, 2002",2.896
"Apr 6, 2002",4.245
"Apr 7, 2002",1.785
"Apr 8, 2002",4.34
"Apr 9, 2002",0.159
"Apr 10, 2002",1.291
"Apr 11, 2002",-2.319
"Apr 12, 2002",0.619
