system:time_start,LST_Day_1km
"Jan 1, 2015",-1.86
"Jan 2, 2015",-3.57
"Jan 3, 2015",-5.173
"Jan 4, 2015",-2.778
"Jan 5, 2015",-6.373
"Jan 6, 2015",-11.098
"Jan 7, 2015",-6.129
"Jan 8, 2015",-1.304
"Jan 9, 2015",-2.308
"Jan 10, 2015",-0.989
"Jan 11, 2015",0.984
"Jan 12, 2015",-13.83
"Jan 13, 2015",-5.51
"Jan 14, 2015",-16.924
"Jan 15, 2015",-10.807
"Jan 16, 2015",-7.869
"Jan 17, 2015",-4.484
"Jan 18, 2015",-3.883
"Jan 19, 2015",-5.621
"Jan 20, 2015",-2.009
"Jan 21, 2015",-7.895
"Jan 22, 2015",-8.004
"Jan 23, 2015",-11.727
"Jan 24, 2015",-10.697
"Jan 25, 2015",-12.864
"Jan 26, 2015",-10.03
"Jan 27, 2015",-4.189
"Jan 28, 2015",-7.321
"Jan 29, 2015",-8.7
"Jan 30, 2015",-7.581
"Jan 31, 2015",-2.069
"Feb 1, 2015",0.343
"Feb 2, 2015",-2.897
"Feb 3, 2015",-3.172
"Feb 4, 2015",-0.327
"Feb 5, 2015",-3.293
"Feb 6, 2015",-6.458
"Feb 7, 2015",-8.752
"Feb 8, 2015",-11.392
"Feb 9, 2015",-11.744
"Feb 10, 2015",-10.88
"Feb 11, 2015",-3.569
"Feb 12, 2015",-0.327
"Feb 13, 2015",-3.342
"Feb 14, 2015",-11.968
"Feb 15, 2015",
"Feb 16, 2015",-0.881
"Feb 17, 2015",1.224
"Feb 18, 2015",2.656
"Feb 19, 2015",-1.286
"Feb 20, 2015",-8.684
"Feb 21, 2015",2.865
"Feb 22, 2015",1.793
"Feb 23, 2015",1.958
"Feb 24, 2015",-0.252
"Feb 25, 2015",2.971
"Feb 26, 2015",2.953
"Feb 27, 2015",4.155
"Feb 28, 2015",4.053
"Mar 1, 2015",2.86
"Mar 2, 2015",-8.08
"Mar 3, 2015",-0.705
"Mar 4, 2015",-0.633
"Mar 5, 2015",0.456
"Mar 6, 2015",-0.403
"Mar 7, 2015",1.534
"Mar 8, 2015",-1.415
"Mar 9, 2015",-4.789
"Mar 10, 2015",-4.844
"Mar 11, 2015",-6.566
"Mar 12, 2015",-8.13
"Mar 13, 2015",-6.771
"Mar 14, 2015",-4.639
"Mar 15, 2015",-2.601
"Mar 16, 2015",1.268
"Mar 17, 2015",3.268
"Mar 18, 2015",4.427
"Mar 19, 2015",2.248
"Mar 20, 2015",1.465
"Mar 21, 2015",4.068
"Mar 22, 2015",1.574
"Mar 23, 2015",6.485
"Mar 24, 2015",-15.704
"Mar 25, 2015",3.663
"Mar 26, 2015",3.994
"Mar 27, 2015",4.501
"Mar 28, 2015",3.511
"Mar 29, 2015",7.858
"Mar 30, 2015",4.187
"Mar 31, 2015",2.946
"Apr 1, 2015",5.069
"Apr 2, 2015",5.525
"Apr 3, 2015",6.458
"Apr 4, 2015",4.178
"Apr 5, 2015",1.844
"Apr 6, 2015",3.185
"Apr 7, 2015",-0.405
"Apr 8, 2015",-0.794
"Apr 9, 2015",-1.017
"Apr 10, 2015",-2.946
"Apr 11, 2015",-2.545
"Apr 12, 2015",-1.731
"Apr 13, 2015",1.34
"Apr 14, 2015",-2.901
"Apr 15, 2015",0.173
"Apr 16, 2015",1.917
"Apr 17, 2015",-0.991
"Apr 18, 2015",2.679
"Apr 19, 2015",-2.152
"Apr 20, 2015",2.426
"Apr 21, 2015",1.813
"Apr 22, 2015",4.375
