system:time_start,LST_Day_1km
"Jan 1, 2008",-20.233
"Jan 2, 2008",-21.427
"Jan 3, 2008",-20.712
"Jan 4, 2008",-23.205
"Jan 5, 2008",-24.977
"Jan 6, 2008",-25.922
"Jan 7, 2008",-24.496
"Jan 8, 2008",-27.112
"Jan 9, 2008",-24.298
"Jan 10, 2008",-27.094
"Jan 11, 2008",-30.581
"Jan 12, 2008",-31.015
"Jan 13, 2008",-30.298
"Jan 14, 2008",-21.53
"Jan 15, 2008",-10.867
"Jan 16, 2008",-11.882
"Jan 17, 2008",-25.757
"Jan 18, 2008",-10.984
"Jan 19, 2008",-12.081
"Jan 20, 2008",-9.189
"Jan 21, 2008",-9.136
"Jan 22, 2008",-10.208
"Jan 23, 2008",-20.233
"Jan 24, 2008",-21.645
"Jan 25, 2008",-16.206
"Jan 26, 2008",-22.779
"Jan 27, 2008",-23.401
"Jan 28, 2008",-16.307
"Jan 29, 2008",-14.998
"Jan 30, 2008",-19.578
"Jan 31, 2008",-20.931
"Feb 1, 2008",-21.39
"Feb 2, 2008",-22.829
"Feb 3, 2008",-25.958
"Feb 4, 2008",-26.555
"Feb 5, 2008",-25.709
"Feb 6, 2008",-24.695
"Feb 7, 2008",-23.088
"Feb 8, 2008",-24.419
"Feb 9, 2008",-24.538
"Feb 10, 2008",-23.641
"Feb 11, 2008",-25.906
"Feb 12, 2008",-23.512
"Feb 13, 2008",-18.166
"Feb 14, 2008",-19.065
"Feb 15, 2008",-23.813
"Feb 16, 2008",-20.406
"Feb 17, 2008",-15.995
"Feb 18, 2008",-4.259
"Feb 19, 2008",-10.034
"Feb 20, 2008",-9.553
"Feb 21, 2008",-10.901
"Feb 22, 2008",-14.041
"Feb 23, 2008",-12.836
"Feb 24, 2008",-14.896
"Feb 25, 2008",-16.203
"Feb 26, 2008",-14.903
"Feb 27, 2008",-15.818
"Feb 28, 2008",-12.847
"Feb 29, 2008",-13.091
"Mar 1, 2008",-18.026
"Mar 2, 2008",-10.951
"Mar 3, 2008",-10.475
"Mar 4, 2008",-7.493
"Mar 5, 2008",-15.124
"Mar 6, 2008",-2.426
"Mar 7, 2008",-4.118
"Mar 8, 2008",-5.8
"Mar 9, 2008",-6.786
"Mar 10, 2008",-9.744
"Mar 11, 2008",-9.931
"Mar 12, 2008",-11.928
"Mar 13, 2008",-9.894
"Mar 14, 2008",-11.352
"Mar 15, 2008",-13.754
"Mar 16, 2008",-10.013
"Mar 17, 2008",-11.275
"Mar 18, 2008",-14.284
"Mar 19, 2008",-17.14
"Mar 20, 2008",-18.61
"Mar 21, 2008",-11.378
"Mar 22, 2008",-13.587
"Mar 23, 2008",-12.311
"Mar 24, 2008",-11.661
"Mar 25, 2008",-9.147
"Mar 26, 2008",-9.392
"Mar 27, 2008",-11.427
"Mar 28, 2008",-9.78
"Mar 29, 2008",-10.632
"Mar 30, 2008",-12.564
"Mar 31, 2008",-6.566
"Apr 1, 2008",-2.067
"Apr 2, 2008",-4.052
"Apr 3, 2008",-5.883
"Apr 4, 2008",-6.522
"Apr 5, 2008",-9.417
"Apr 6, 2008",-9.195
"Apr 7, 2008",-8.391
"Apr 8, 2008",-10.173
"Apr 9, 2008",-10.753
"Apr 10, 2008",-10.495
"Apr 11, 2008",-9.818
"Apr 12, 2008",-7.178
"Apr 13, 2008",-8.844
"Apr 14, 2008",-5.101
"Apr 15, 2008",-9.71
"Apr 16, 2008",-9.002
"Apr 17, 2008",-5.793
"Apr 18, 2008",-1.53
"Apr 19, 2008",-2.054
"Apr 20, 2008",0.596
"Apr 21, 2008",-0.475
"Apr 22, 2008",2.591
"Apr 23, 2008",3.214
"Apr 24, 2008",0.153
"Apr 25, 2008",-3.847
"Apr 26, 2008",-4.336
"Apr 27, 2008",-4.78
"Apr 28, 2008",-2.778
"Apr 29, 2008",-0.909
"Apr 30, 2008",-3.892
"May 1, 2008",-1.62
"May 2, 2008",-0.854
"May 3, 2008",0.285
"May 4, 2008",-0.06
"May 5, 2008",1.962
"May 6, 2008",3.287
"May 7, 2008",1.884
"May 8, 2008",-1.509
"May 9, 2008",1.629
"May 10, 2008",4.098
"May 11, 2008",5.942
"May 12, 2008",3.094
"May 13, 2008",3.292
"May 14, 2008",5.963
"May 15, 2008",7.511
"May 16, 2008",2.584
"May 17, 2008",5.702
"May 18, 2008",4.422
"May 19, 2008",5.232
"May 20, 2008",9.176
"May 21, 2008",10.572
"May 22, 2008",9.516
"May 23, 2008",13.007
"May 24, 2008",10.294
"May 25, 2008",5.686
"May 26, 2008",6.844
"May 27, 2008",8.489
"May 28, 2008",8.371
"May 29, 2008",11.947
"May 30, 2008",12.092
"May 31, 2008",17.592
"Jun 1, 2008",11.228
"Jun 2, 2008",12.934
"Jun 3, 2008",10.44
"Jun 4, 2008",11.544
"Jun 5, 2008",10.456
"Jun 6, 2008",9.339
"Jun 7, 2008",12.403
"Jun 8, 2008",7.5
"Jun 9, 2008",10.342
"Jun 10, 2008",11.544
"Jun 11, 2008",11.017
"Jun 12, 2008",8.29
"Jun 13, 2008",16.083
"Jun 14, 2008",20.19
"Jun 15, 2008",7.267
"Jun 16, 2008",9.184
"Jun 17, 2008",12.121
"Jun 18, 2008",9.45
"Jun 19, 2008",11.18
"Jun 20, 2008",14.378
"Jun 21, 2008",11.633
"Jun 22, 2008",16.355
"Jun 23, 2008",11.535
"Jun 24, 2008",12.827
"Jun 25, 2008",14.628
"Jun 26, 2008",15.682
"Jun 27, 2008",17.21
"Jun 28, 2008",11.427
"Jun 29, 2008",10.197
