system:time_start,LST_Day_1km
"Jan 1, 2012",-29.149
"Jan 2, 2012",-29.24
"Jan 3, 2012",-30.52
"Jan 4, 2012",-33.357
"Jan 5, 2012",-31.447
"Jan 6, 2012",-32.408
"Jan 7, 2012",-28.815
"Jan 8, 2012",-30.147
"Jan 9, 2012",-24.665
"Jan 10, 2012",-19.885
"Jan 11, 2012",-27.346
"Jan 12, 2012",-28.391
"Jan 13, 2012",-28.571
"Jan 14, 2012",-27.062
"Jan 15, 2012",-25.012
"Jan 16, 2012",-21.428
"Jan 17, 2012",-24.354
"Jan 18, 2012",-24.892
"Jan 19, 2012",-22.68
"Jan 20, 2012",-21.14
"Jan 21, 2012",-21.24
"Jan 22, 2012",-23.864
"Jan 23, 2012",-23.576
"Jan 24, 2012",-27.287
"Jan 25, 2012",-30.816
"Jan 26, 2012",-30.3
"Jan 27, 2012",-32.864
"Jan 28, 2012",-29.434
"Jan 29, 2012",-23.054
"Jan 30, 2012",-24.865
"Jan 31, 2012",-24.158
"Feb 1, 2012",-24.421
"Feb 2, 2012",-27.67
"Feb 3, 2012",-30.911
"Feb 4, 2012",-14.911
"Feb 5, 2012",-7.692
"Feb 6, 2012",-6.778
"Feb 7, 2012",-8.019
"Feb 8, 2012",-10.391
"Feb 9, 2012",-7.443
"Feb 10, 2012",-7.806
"Feb 11, 2012",-6.64
"Feb 12, 2012",-8.046
"Feb 13, 2012",-11.331
"Feb 14, 2012",-11.678
"Feb 15, 2012",-10.951
"Feb 16, 2012",-11.947
"Feb 17, 2012",-7.931
"Feb 18, 2012",-13.569
"Feb 19, 2012",-17.161
"Feb 20, 2012",-14.278
"Feb 21, 2012",-12.079
"Feb 22, 2012",-12.117
"Feb 23, 2012",-16.534
"Feb 24, 2012",-16.99
"Feb 25, 2012",-17.863
"Feb 26, 2012",-11.837
"Feb 27, 2012",-18.654
"Feb 28, 2012",-21.148
"Feb 29, 2012",-21.251
"Mar 1, 2012",-23.201
"Mar 2, 2012",-16.149
"Mar 3, 2012",-22.001
"Mar 4, 2012",-20.165
"Mar 5, 2012",-15.218
"Mar 6, 2012",-10.641
"Mar 7, 2012",-14.959
"Mar 8, 2012",-15.571
"Mar 9, 2012",-16.234
"Mar 10, 2012",-19.306
"Mar 11, 2012",-19.315
"Mar 12, 2012",-17.351
"Mar 13, 2012",-17.622
"Mar 14, 2012",-17.258
"Mar 15, 2012",-15.641
"Mar 16, 2012",-14.288
"Mar 17, 2012",-16.005
"Mar 18, 2012",-15.24
"Mar 19, 2012",-16.802
"Mar 20, 2012",-16.409
"Mar 21, 2012",-16.331
"Mar 22, 2012",-14.502
"Mar 23, 2012",-12.749
"Mar 24, 2012",-7.482
"Mar 25, 2012",-8.765
"Mar 26, 2012",-10.109
"Mar 27, 2012",-11.089
"Mar 28, 2012",-6.578
"Mar 29, 2012",-4.103
"Mar 30, 2012",-5.138
"Mar 31, 2012",-6.451
"Apr 1, 2012",-7.397
"Apr 2, 2012",-6.256
"Apr 3, 2012",-5.819
"Apr 4, 2012",-7.951
"Apr 5, 2012",-11.342
"Apr 6, 2012",-9.72
"Apr 7, 2012",-5.922
"Apr 8, 2012",-3.717
"Apr 9, 2012",-2.72
"Apr 10, 2012",-2.441
"Apr 11, 2012",-0.436
"Apr 12, 2012",-0.642
"Apr 13, 2012",0.187
"Apr 14, 2012",0.004
"Apr 15, 2012",-0.377
"Apr 16, 2012",-0.785
"Apr 17, 2012",-3.147
"Apr 18, 2012",-0.82
"Apr 19, 2012",0.592
"Apr 20, 2012",1.434
"Apr 21, 2012",-1.69
"Apr 22, 2012",-0.224
"Apr 23, 2012",0.229
"Apr 24, 2012",2.183
"Apr 25, 2012",2.516
"Apr 26, 2012",2.891
"Apr 27, 2012",3.278
"Apr 28, 2012",1.476
"Apr 29, 2012",3.3
"Apr 30, 2012",1.764
"May 1, 2012",-0.711
"May 2, 2012",-1.476
"May 3, 2012",-3.483
"May 4, 2012",-4.41
"May 5, 2012",-0.547
"May 6, 2012",2.63
"May 7, 2012",-0.46
"May 8, 2012",1.991
"May 9, 2012",1.514
"May 10, 2012",1.601
"May 11, 2012",-3.42
"May 12, 2012",-1.913
"May 13, 2012",3.449
"May 14, 2012",4.645
"May 15, 2012",3.251
"May 16, 2012",6.227
"May 17, 2012",8.31
"May 18, 2012",9.105
"May 19, 2012",10.044
"May 20, 2012",8.374
"May 21, 2012",5.556
"May 22, 2012",10.569
"May 23, 2012",9.452
"May 24, 2012",15.291
"May 25, 2012",9.959
"May 26, 2012",11.074
"May 27, 2012",15.138
"May 28, 2012",10.344
"May 29, 2012",12.544
"May 30, 2012",14.433
"May 31, 2012",8.482
"Jun 1, 2012",7.449
"Jun 2, 2012",12.979
"Jun 3, 2012",16.45
"Jun 4, 2012",15.333
"Jun 5, 2012",12.651
"Jun 6, 2012",12.276
"Jun 7, 2012",7.628
"Jun 8, 2012",5.969
"Jun 9, 2012",3.783
"Jun 10, 2012",14.666
"Jun 11, 2012",13.751
"Jun 12, 2012",10.414
"Jun 13, 2012",17.127
"Jun 14, 2012",20.155
"Jun 15, 2012",21.208
"Jun 16, 2012",18.754
"Jun 17, 2012",18.05
"Jun 18, 2012",15.242
"Jun 19, 2012",16.9
"Jun 20, 2012",19.405
"Jun 21, 2012",17.346
"Jun 22, 2012",16.201
"Jun 23, 2012",16.657
"Jun 24, 2012",9.591
"Jun 25, 2012",10.104
"Jun 26, 2012",11.306
"Jun 27, 2012",14.022
"Jun 28, 2012",11.31
"Jun 29, 2012",13.455
"Jun 30, 2012",13.905
"Jul 1, 2012",15.018
"Jul 2, 2012",12.243
"Jul 3, 2012",11.541
"Jul 4, 2012",12.679
"Jul 5, 2012",19.94
"Jul 6, 2012",17.602
"Jul 7, 2012",17.878
"Jul 8, 2012",18.953
"Jul 9, 2012",12.861
"Jul 10, 2012",14.825
"Jul 11, 2012",6.417
"Jul 12, 2012",13.091
"Jul 13, 2012",11.695
"Jul 14, 2012",8.791
"Jul 15, 2012",12.909
"Jul 16, 2012",7.656
"Jul 17, 2012",14.962
"Jul 18, 2012",16.818
"Jul 19, 2012",15.927
"Jul 20, 2012",12.626
"Jul 21, 2012",8.685
"Jul 22, 2012",16.176
"Jul 23, 2012",20.674
"Jul 24, 2012",10.094
"Jul 25, 2012",13.007
"Jul 26, 2012",15.148
"Jul 27, 2012",14.932
"Jul 28, 2012",17.898
"Jul 29, 2012",10.697
"Jul 30, 2012",10.073
"Jul 31, 2012",10.019
"Aug 1, 2012",-0.05
"Aug 2, 2012",11.962
"Aug 3, 2012",10.228
"Aug 4, 2012",8.676
"Aug 5, 2012",13.65
"Aug 6, 2012",16.494
"Aug 7, 2012",12.487
"Aug 8, 2012",16.715
"Aug 9, 2012",18.819
"Aug 10, 2012",15.537
"Aug 11, 2012",17.591
"Aug 12, 2012",21.719
"Aug 13, 2012",19.932
"Aug 14, 2012",19.237
"Aug 15, 2012",13.939
"Aug 16, 2012",12.395
"Aug 17, 2012",9.035
"Aug 18, 2012",9.861
"Aug 19, 2012",10.91
"Aug 20, 2012",10.802
"Aug 21, 2012",12.525
"Aug 22, 2012",11.941
"Aug 23, 2012",11.597
"Aug 24, 2012",12.359
"Aug 25, 2012",11.003
"Aug 26, 2012",11.588
"Aug 27, 2012",13.503
"Aug 28, 2012",13.14
"Aug 29, 2012",9.471
"Aug 30, 2012",8.544
"Aug 31, 2012",9.845
"Sep 1, 2012",10.372
"Sep 2, 2012",5.985
"Sep 3, 2012",5.951
"Sep 4, 2012",6.06
"Sep 5, 2012",5.075
"Sep 6, 2012",7.903
"Sep 7, 2012",3.722
"Sep 8, 2012",7.784
"Sep 9, 2012",7.69
"Sep 10, 2012",6.365
"Sep 11, 2012",3.85
"Sep 12, 2012",7.974
"Sep 13, 2012",6.455
"Sep 14, 2012",8.623
"Sep 15, 2012",6.214
"Sep 16, 2012",5.671
"Sep 17, 2012",4.287
"Sep 18, 2012",9.116
"Sep 19, 2012",4.839
"Sep 20, 2012",5.4
"Sep 21, 2012",5.972
"Sep 22, 2012",7.361
"Sep 23, 2012",4.432
"Sep 24, 2012",2.782
"Sep 25, 2012",0.512
"Sep 26, 2012",9.335
"Sep 27, 2012",0.462
