system:time_start,LST_Day_1km
"Jan 1, 2016",-12.058
"Jan 2, 2016",-8.447
"Jan 3, 2016",-10.302
"Jan 4, 2016",-15.143
"Jan 5, 2016",-9.925
"Jan 6, 2016",-13.459
"Jan 7, 2016",-16.995
"Jan 8, 2016",-18.006
"Jan 9, 2016",-11.426
"Jan 10, 2016",-13.283
"Jan 11, 2016",-12.239
"Jan 12, 2016",-13.883
"Jan 13, 2016",-13.008
"Jan 14, 2016",-16.621
"Jan 15, 2016",-18.892
"Jan 16, 2016",-14.848
"Jan 17, 2016",-15.638
"Jan 18, 2016",-18.345
"Jan 19, 2016",-19.905
"Jan 20, 2016",-18.993
"Jan 21, 2016",-19.396
"Jan 22, 2016",-22.209
"Jan 23, 2016",-21.963
"Jan 24, 2016",-18.689
"Jan 25, 2016",-13.81
"Jan 26, 2016",-14.313
"Jan 27, 2016",-12.792
"Jan 28, 2016",-11.649
"Jan 29, 2016",-11.547
"Jan 30, 2016",-12.016
"Jan 31, 2016",-13.539
"Feb 1, 2016",-14.674
"Feb 2, 2016",-17.203
"Feb 3, 2016",-16.178
"Feb 4, 2016",-14.076
"Feb 5, 2016",-14.693
"Feb 6, 2016",-13.708
"Feb 7, 2016",-15.112
"Feb 8, 2016",-14.515
"Feb 9, 2016",-15.834
"Feb 10, 2016",-16.085
"Feb 11, 2016",-17.193
"Feb 12, 2016",-15.367
"Feb 13, 2016",-13.51
"Feb 14, 2016",-13.481
"Feb 15, 2016",-15.834
"Feb 16, 2016",-16.309
"Feb 17, 2016",-18.64
"Feb 18, 2016",-18.256
"Feb 28, 2016",-9.274
"Feb 29, 2016",-4.572
"Mar 1, 2016",-7.088
"Mar 2, 2016",-10.382
"Mar 3, 2016",-10.523
"Mar 4, 2016",-10.707
"Mar 5, 2016",-11.245
"Mar 6, 2016",-11.224
"Mar 7, 2016",-11.856
"Mar 8, 2016",-12.2
"Mar 9, 2016",-11.731
"Mar 10, 2016",-10.292
"Mar 11, 2016",-9.17
"Mar 12, 2016",-9.937
"Mar 13, 2016",-10.918
"Mar 14, 2016",-13.629
"Mar 15, 2016",-14.381
"Mar 16, 2016",-14.519
"Mar 17, 2016",-15.733
"Mar 18, 2016",-16.156
"Mar 19, 2016",-16.729
"Mar 20, 2016",-8.578
"Mar 21, 2016",-7.331
"Mar 22, 2016",-6.55
"Mar 23, 2016",-4.848
"Mar 24, 2016",-4.346
"Mar 25, 2016",-3.205
"Mar 26, 2016",-7.356
"Mar 27, 2016",-9.663
"Mar 28, 2016",-11.61
"Mar 29, 2016",-10.008
"Mar 30, 2016",-12.594
"Mar 31, 2016",-1.701
"Apr 1, 2016",-3.292
"Apr 2, 2016",-4.365
"Apr 3, 2016",-0.333
"Apr 4, 2016",-1.114
"Apr 5, 2016",-2.33
"Apr 6, 2016",-1.273
"Apr 7, 2016",0.934
"Apr 8, 2016",-0.147
"Apr 9, 2016",-1.387
"Apr 10, 2016",-2.125
"Apr 11, 2016",2.84
"Apr 12, 2016",2.045
"Apr 13, 2016",-0.382
"Apr 14, 2016",-0.351
"Apr 15, 2016",0.803
"Apr 16, 2016",0.645
"Apr 17, 2016",0.468
"Apr 18, 2016",2.375
"Apr 19, 2016",2.617
"Apr 20, 2016",4.336
"Apr 21, 2016",4.084
"Apr 22, 2016",2.332
"Apr 23, 2016",6.194
"Apr 24, 2016",8.846
"Apr 25, 2016",5.324
"Apr 26, 2016",9.94
"Apr 27, 2016",5.484
"Apr 28, 2016",8.17
"Apr 29, 2016",7.809
"Apr 30, 2016",9.972
"May 1, 2016",9.804
"May 2, 2016",10.249
"May 3, 2016",8.001
"May 4, 2016",8.052
"May 5, 2016",10.699
"May 6, 2016",11.129
"May 7, 2016",10.575
"May 8, 2016",10.353
"May 9, 2016",9.473
"May 10, 2016",15.777
"May 11, 2016",17.7
"May 12, 2016",22.983
"May 13, 2016",22.033
"May 14, 2016",21.59
"May 15, 2016",19.753
"May 16, 2016",18.98
"May 17, 2016",15.114
"May 18, 2016",13.258
"May 19, 2016",17.536
"May 20, 2016",14.453
"May 21, 2016",13.748
"May 22, 2016",14.156
"May 23, 2016",10.012
"May 24, 2016",10.615
"May 25, 2016",9.369
"May 26, 2016",11.256
"May 27, 2016",21.053
"May 28, 2016",23.719
"May 29, 2016",23.521
"May 30, 2016",23.168
"May 31, 2016",23.054
"Jun 1, 2016",20.547
"Jun 2, 2016",18.649
"Jun 3, 2016",17.572
"Jun 4, 2016",19.425
"Jun 5, 2016",19.32
"Jun 6, 2016",19.428
"Jun 7, 2016",19.152
"Jun 8, 2016",15.352
"Jun 9, 2016",16.704
"Jun 10, 2016",18.949
"Jun 11, 2016",18.819
"Jun 12, 2016",17.249
"Jun 13, 2016",13.884
"Jun 14, 2016",14.358
"Jun 15, 2016",23.305
"Jun 16, 2016",25.942
"Jun 17, 2016",26.863
"Jun 18, 2016",20.472
"Jun 19, 2016",16.44
"Jun 20, 2016",16.983
"Jun 21, 2016",19.096
"Jun 22, 2016",19.993
"Jun 23, 2016",22.187
"Jun 24, 2016",24.186
"Jun 25, 2016",24.382
"Jun 26, 2016",23.466
"Jun 27, 2016",21.916
"Jun 28, 2016",21.48
"Jun 29, 2016",22.85
"Jun 30, 2016",24.298
"Jul 1, 2016",24.248
"Jul 2, 2016",23.228
"Jul 3, 2016",21.96
"Jul 4, 2016",22.08
"Jul 5, 2016",17.743
"Jul 6, 2016",16.694
"Jul 7, 2016",18.854
"Jul 8, 2016",17.868
"Jul 9, 2016",20.618
"Jul 10, 2016",18.238
"Jul 11, 2016",20.396
"Jul 12, 2016",25.968
"Jul 13, 2016",28.803
"Jul 14, 2016",29.07
"Jul 15, 2016",26.356
"Jul 16, 2016",22.422
"Jul 17, 2016",
"Jul 18, 2016",17.502
"Jul 19, 2016",17.828
"Jul 20, 2016",15.501
"Jul 21, 2016",15.15
"Jul 22, 2016",14.634
"Jul 23, 2016",14.508
"Jul 24, 2016",18.56
"Jul 25, 2016",21.631
"Jul 26, 2016",21.26
"Jul 27, 2016",21.218
"Jul 28, 2016",18.556
"Jul 29, 2016",16.623
"Jul 30, 2016",14.586
"Jul 31, 2016",15.199
"Aug 1, 2016",19.353
"Aug 2, 2016",18.793
"Aug 3, 2016",17.4
"Aug 4, 2016",16.908
"Aug 5, 2016",16.872
"Aug 6, 2016",18.523
"Aug 7, 2016",16.173
"Aug 8, 2016",17.955
"Aug 9, 2016",15.461
"Aug 10, 2016",16.257
"Aug 11, 2016",15.293
"Aug 12, 2016",15.764
"Aug 13, 2016",18.89
"Aug 14, 2016",17.417
"Aug 15, 2016",17.316
"Aug 16, 2016",18.108
"Aug 17, 2016",20.668
"Aug 18, 2016",19.489
"Aug 19, 2016",15.814
"Aug 20, 2016",16.994
"Aug 21, 2016",12.909
"Aug 22, 2016",13.51
"Aug 23, 2016",15.435
"Aug 24, 2016",17
"Aug 25, 2016",14.742
"Aug 26, 2016",15.629
"Aug 27, 2016",14.742
"Aug 28, 2016",17.138
"Aug 29, 2016",18.046
"Aug 30, 2016",17.243
"Aug 31, 2016",18.742
"Sep 1, 2016",18.198
"Sep 2, 2016",16.122
"Sep 3, 2016",17.76
"Sep 4, 2016",18.599
"Sep 5, 2016",14.434
"Sep 6, 2016",12.082
"Sep 7, 2016",11.556
"Sep 8, 2016",13.353
"Sep 9, 2016",14.333
"Sep 10, 2016",13.46
"Sep 11, 2016",9.895
"Sep 12, 2016",12.048
"Sep 13, 2016",6.359
"Sep 14, 2016",7.221
"Sep 15, 2016",9.012
"Sep 16, 2016",8.815
"Sep 17, 2016",10.04
"Sep 18, 2016",2.855
"Sep 19, 2016",5.574
"Sep 20, 2016",9.139
"Sep 21, 2016",9.734
"Sep 22, 2016",7.062
"Sep 23, 2016",4.949
"Sep 24, 2016",4.287
"Sep 25, 2016",3.81
"Sep 26, 2016",3.074
"Sep 27, 2016",2.63
"Sep 28, 2016",5.959
"Sep 29, 2016",6.32
"Sep 30, 2016",4.379
"Oct 1, 2016",5.315
"Oct 2, 2016",3.234
"Oct 3, 2016",1.213
"Oct 4, 2016",2.617
"Oct 5, 2016",3.007
"Oct 6, 2016",2.848
"Oct 7, 2016",2.534
"Oct 8, 2016",3.483
"Oct 9, 2016",3.412
"Oct 10, 2016",2.087
"Oct 11, 2016",1.984
"Oct 12, 2016",5.168
"Oct 13, 2016",3.103
"Oct 14, 2016",0.172
"Oct 15, 2016",-1.676
"Oct 16, 2016",-3.362
"Oct 17, 2016",-4.02
"Oct 18, 2016",-3.652
"Oct 19, 2016",-4.746
"Oct 20, 2016",-5.683
"Oct 21, 2016",-4.896
"Oct 22, 2016",-8.846
"Oct 23, 2016",-9.926
"Oct 24, 2016",-9.193
"Oct 25, 2016",-8.064
"Oct 26, 2016",-8.463
"Oct 27, 2016",-7.453
"Oct 28, 2016",-8.447
"Oct 29, 2016",-1.887
"Oct 30, 2016",-1.756
"Oct 31, 2016",-2.162
"Nov 1, 2016",-3.492
"Nov 2, 2016",-5.387
"Nov 3, 2016",-5.532
"Nov 4, 2016",-9.963
"Nov 5, 2016",-11.46
"Nov 6, 2016",-13.279
"Nov 7, 2016",-12.735
"Nov 8, 2016",-12.885
"Nov 9, 2016",-10.703
"Nov 10, 2016",-9.297
